num_sen,num_ip,hit_ip,rate,hit_A,hit_B,time100,time_avg
153850,100,89,0.89,94,93,42.0365993976593,0.4200332283973694
205666,100,92,0.92,94,97,55.189903259277344,0.551572654247284
33493,100,14,0.14,39,36,9.699223041534424,0.09668523073196411
67561,100,44,0.44,63,65,19.42572331428528,0.19393950939178467
101629,100,57,0.57,79,73,28.901672840118408,0.28870138645172116
135697,100,73,0.73,87,84,38.234546184539795,0.3820208978652954
35496,100,15,0.15,34,37,10.440266132354736,0.10410297155380249
71910,100,38,0.38,58,68,21.176595449447632,0.21143067121505738
108324,100,61,0.61,73,81,30.960361003875732,0.3092770051956177
144738,100,73,0.73,81,89,40.590031147003174,0.4055678105354309
33179,100,15,0.15,35,45,9.707087993621826,0.09678018093109131
67247,100,50,0.5,65,72,19.3940589427948,0.1936184573173523
101315,100,65,0.65,80,83,30.51799488067627,0.30480294227600097
135383,100,75,0.75,84,90,40.05498194694519,0.40019142866134644
76882,100,49,0.49,72,73,23.246318340301514,0.23211095571517945
156442,100,87,0.87,89,97,45.348712682724,0.4531215953826904
236002,100,94,0.94,94,100,68.86444020271301,0.6882097721099854
315562,100,96,0.96,96,100,88.91993021965027,0.8888626646995544
68604,100,38,0.38,67,61,20.33713722229004,0.2030375123023987
138882,100,83,0.83,90,91,38.59336018562317,0.3855961608886719
209160,100,95,0.95,97,98,58.243791818618774,0.5821083045005798
279438,100,100,1.0,100,100,78.32386207580566,0.782885901927948
31801,100,11,0.11,38,38,8.988486289978027,0.08957949161529541
64543,100,36,0.36,65,59,17.873929262161255,0.17843600273132323
97285,100,50,0.5,74,71,27.078157901763916,0.27044618606567383
130027,100,69,0.69,86,82,35.30767059326172,0.35276623725891115
54361,100,28,0.28,53,54,14.651639938354492,0.1462165069580078
110869,100,65,0.65,80,82,29.489935159683228,0.2945619344711304
167377,100,83,0.83,91,91,44.72089171409607,0.44687031507492064
223885,100,93,0.93,97,96,58.87211585044861,0.5883836650848389
52404,100,38,0.38,64,57,13.451580047607422,0.13421642303466796
107076,100,71,0.71,84,85,27.321226358413696,0.2728685641288757
161748,100,86,0.86,92,94,40.730077028274536,0.4069556427001953
216420,100,94,0.94,95,99,54.65827798843384,0.5462296056747437
36566,100,15,0.15,36,49,10.529927730560303,0.10498672723770142
74306,100,48,0.48,65,71,20.4915030002594,0.204585919380188
112046,100,66,0.66,76,86,30.804173946380615,0.3076882648468018
149786,100,77,0.77,81,94,40.525407552719116,0.4049257516860962
46313,100,25,0.25,48,49,13.700619459152222,0.1366780424118042
93743,100,50,0.5,68,73,26.92731237411499,0.26891718864440917
141173,100,73,0.73,86,85,39.14978313446045,0.3911734461784363
188603,100,85,0.85,91,92,53.08538055419922,0.5305170965194702
64097,100,41,0.41,65,59,17.762911558151245,0.177318058013916
130193,100,71,0.71,87,80,35.81937623023987,0.3578409743309021
196289,100,86,0.86,94,90,53.44541049003601,0.5341226005554199
262385,100,95,0.95,98,97,78.68949222564697,0.7865412092208862
7131,100,0,0.0,4,10,1.7460453510284424,0.017187058925628662
15189,100,3,0.03,14,17,3.6555447578430176,0.03627635002136231
23247,100,6,0.06,22,23,5.53032374382019,0.05502534866333008
31305,100,8,0.08,27,29,7.454493999481201,0.07425026655197144
47523,100,30,0.3,52,57,12.614134550094604,0.12583401918411255
96891,100,59,0.59,73,79,25.154985904693604,0.25121833086013795
146259,100,75,0.75,84,90,37.35083556175232,0.37316911697387695
195627,100,84,0.84,91,93,50.206615686416626,0.5017311787605285
38929,100,16,0.16,36,39,10.377318859100342,0.10345474243164063
79525,100,41,0.41,59,63,20.912460327148438,0.2088149356842041
120121,100,66,0.66,80,82,31.39086365699768,0.3135904049873352
160717,100,80,0.8,90,88,41.852296113967896,0.41817731857299806
39867,100,13,0.13,38,50,11.225106954574585,0.1115730357170105
80769,100,53,0.53,71,74,21.809385061264038,0.21778300046920776
121671,100,75,0.75,85,85,32.760958433151245,0.3273080158233643
162573,100,84,0.84,90,92,43.73297739028931,0.4369963574409485
55824,100,30,0.3,54,56,15.127198934555054,0.15097301959991455
113454,100,68,0.68,88,79,30.83145809173584,0.30800045728683473
171084,100,86,0.86,94,91,44.93913245201111,0.44906593322753907
228714,100,93,0.93,96,97,59.9069242477417,0.5987517189979553
54301,100,28,0.28,52,54,14.991269588470459,0.149607515335083
110503,100,60,0.6,79,76,30.30164074897766,0.30271009683609007
166705,100,85,0.85,94,90,45.76690149307251,0.45730636596679686
222907,100,94,0.94,98,95,60.83332681655884,0.6079925131797791
59248,100,31,0.31,56,56,16.74728226661682,0.1671580219268799
120652,100,64,0.64,82,78,34.37302613258362,0.3433747529983521
182056,100,87,0.87,97,89,50.771937131881714,0.5073442935943604
243460,100,92,0.92,98,94,66.18182682991028,0.6614855194091797
17527,100,4,0.04,25,14,5.1503424644470215,0.05116716146469116
35377,100,15,0.15,41,31,10.192492008209229,0.10162146091461181
53227,100,28,0.28,53,50,14.977917432785034,0.1494840669631958
71077,100,38,0.38,64,56,20.001036882400513,0.19970287799835204
52768,100,24,0.24,50,48,14.681925296783447,0.14649250030517577
107746,100,58,0.58,79,73,29.14003014564514,0.2910801124572754
162724,100,82,0.82,87,94,43.201998472213745,0.4316904067993164
217702,100,94,0.94,96,98,57.34522891044617,0.5731323146820069
45734,100,26,0.26,46,59,13.432287216186523,0.13402125358581543
92450,100,50,0.5,72,73,26.477678298950195,0.2644612693786621
139166,100,75,0.75,89,85,39.28760623931885,0.3925491762161255
185882,100,85,0.85,94,90,53.32779407501221,0.5329501986503601
